Price,Year,Mileage,City,State,Vin,Make,Model,Year
11450,60000,39516,Nashville, TN,KMHDH6AH5EU029040,Hyundai,Elantra,2014
12444,60000,19691,San Antonio, TX,KMHD35LH9EU201513,Hyundai,Elantra,2014
13799,40000,4600,Staten Island, NY,KMHD35LH0GU326127,Hyundai,Elantra,2016
13311,50000,21542,Boise, ID,KMHD35LH5FU236924,Hyundai,Elantra,2015
11425,70000,43034,Peoria, AZ,KMHDH6AEXDU020564,Hyundai,Elantra,2013
10999,70000,47158,Brandon, FL,KMHDH6AE8DU008106,Hyundai,Elantra,2013
14005,30000,13015,Logan, UT,KMHD35LH8HU352301,Hyundai,Elantra,2017
11443,60000,27283,Orem, UT,KMHD35LHXEU225397,Hyundai,Elantra,2014
9395,100000,89655,Winston Salem, NC,KMHDB8AE8AU064605,Hyundai,Elantra,2010
13688,30000,5893,Hollywood, FL,KMHD35LH9HU372248,Hyundai,Elantra,2017
13750,40000,6375,Bristol, TN,KMHD35LH4GU332111,Hyundai,Elantra,2016
12981,60000,32125,Paramus, NJ,KMHDH6AH2EU024409,Hyundai,Elantra,2014
10987,70000,30968,Chantilly, VA,KMHD35LEXDU118371,Hyundai,Elantra,2013
9588,70000,64753,Yorkville, NY,KMHDH6AE9DU012584,Hyundai,Elantra,2013
13868,40000,5266,Johnston, RI,KMHD35LH1GU329697,Hyundai,Elantra,2016
11497,60000,57143,Flemming, GA,KMHDH6AH3EU023902,Hyundai,Elantra,2014
11750,40000,24210,South Portland, ME,KMHD35LH1GU291601,Hyundai,Elantra,2016
10888,70000,49478,Santa Clara, CA,KMHDH6AE7DU015774,Hyundai,Elantra,2013
13997,40000,7943,Little Rock, AR,KMHD35LH6GU302642,Hyundai,Elantra,2016
11046,70000,46848,Shrewsbury, NJ,KMHDH6AE4DU019121,Hyundai,Elantra,2013
13995,60000,34480,Dover, DE,KMHDH6AH4EU028851,Hyundai,Elantra,2014
9799,70000,52651,Houston, TX,KMHDH6AEXDU022718,Hyundai,Elantra,2013
8994,70000,66785,Punta Gorda, FL,KMHDH6AE9DU009118,Hyundai,Elantra,2013
12490,40000,28319,Duluth, GA,KMHD35LH8GU300441,Hyundai,Elantra,2016
10984,70000,49152,Canandaigua, NY,KMHDH6AE2DU003175,Hyundai,Elantra,2013
9999,30000,51820,Derby, CT,KMHD35LHXHU348427,Hyundai,Elantra,2017
10895,90000,81810,Tulsa, OK,KMHDC8AE1BU105333,Hyundai,Elantra,2011
5999,90000,140840,Grants Pass, OR,KMHDC8AE4BU090780,Hyundai,Elantra,2011
10500,40000,54306,Buford, GA,KMHD35LH9GU256630,Hyundai,Elantra,2016
13633,60000,29525,Philadelphia, PA,KMHDH6AH8EU027928,Hyundai,Elantra,2014
12995,40000,17406,Sodus, NY,KMHD35LH5GU299751,Hyundai,Elantra,2016
13894,40000,6702,Bentonville, AR,KMHD35LH2GU342488,Hyundai,Elantra,2016
8500,70000,70107,MONTCLAIR, CA,KMHDH6AE6DU010842,Hyundai,Elantra,2013
14590,30000,14840,Richmond, Va,KMHD35LH5HU354345,Hyundai,Elantra,2017
10599,70000,30893,Austin, TX,KMHD35LE9DU082060,Hyundai,Elantra,2013
14496,60000,20536,Harrisburg, PA,KMHDH6AH3EU025794,Hyundai,Elantra,2014
14276,40000,4195,West Valley, UT,KMHD35LH9GU341824,Hyundai,Elantra,2016
13788,40000,18935,North Charleston, SC,KMHD35LH5GU280388,Hyundai,Elantra,2016
10999,60000,15376,Miami, FL,KMHD35LH1EU218161,Hyundai,Elantra,2014
5494,100000,139644,Fairfield, OH,KMHDC8AE0AU052493,Hyundai,Elantra,2010
13547,30000,30212,Woburn, MA,KMHD35LH2HU357347,Hyundai,Elantra,2017
13547,30000,30253,Houston, TX,KMHD35LH6HU350238,Hyundai,Elantra,2017
13547,30000,30271,Grand Rapids, MI,KMHD35LH7HU351415,Hyundai,Elantra,2017
13547,30000,30285,North Little Rock, AR,KMHD35LH0HU350378,Hyundai,Elantra,2017
13547,30000,30311,Hazelwood, MO,KMHD35LH9HU349150,Hyundai,Elantra,2017
13547,30000,30361,Redmond, OR,KMHD35LH0HU350073,Hyundai,Elantra,2017
10995,60000,61742,Reno, NV,KMHDH6AH7EU023921,Hyundai,Elantra,2014
13547,30000,30406,Santa Clara, CA,KMHD35LH0HU348890,Hyundai,Elantra,2017
9700,70000,68006,Rockland, MA,KMHDH6AE2DU004875,Hyundai,Elantra,2013
13799,60000,27179,Tracy, CA,KMHDH6AHXEU029549,Hyundai,Elantra,2014
13547,30000,30727,Lawrenceville, GA,KMHD35LHXHU352624,Hyundai,Elantra,2017
13599,40000,23349,Sandy, UT,KMHD35LH7GU263379,Hyundai,Elantra,2016
12232,40000,18518,Miami, FL,KMHD35LH7GU318851,Hyundai,Elantra,2016
13662,60000,27764,Gresham, OR,KMHDH6AH3EU027920,Hyundai,Elantra,2014
9999,50000,36870,Hialeah, FL,KMHD35LH4FU239619,Hyundai,Elantra,2015
12400,60000,22608,Newport News, VA,KMHD35LH6EU202893,Hyundai,Elantra,2014
10000,70000,74547,Daphne, AL,KMHDH6AE4DU007339,Hyundai,Elantra,2013
13547,30000,31210,Victorville, CA,KMHD35LH7HU350362,Hyundai,Elantra,2017
14047,30000,25201,Lawrenceville, GA,KMHD35LH8HU352587,Hyundai,Elantra,2017
